City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto colombia,10.9878,-74.9547,82.49,77,6,26.55,CO,1707704902
1,stanley,54.868,-1.6985,37.27,90,20,4.61,GB,1707704512
2,iaciara,-14.0958,-46.6317,66.92,97,100,2.93,BR,1707704902
3,thompson,55.7435,-97.8558,12.36,85,100,0.0,CA,1707704217
4,cabinda,-5.55,12.2,77.14,88,100,6.91,AO,1707704902
5,weno,7.4515,151.8468,85.95,70,40,12.66,FM,1707704902
6,west island,-12.1568,96.8225,85.98,74,40,10.36,CC,1707704500
7,porto novo,6.4965,2.6036,84.02,90,6,5.86,BJ,1707704529
8,papatowai,-46.5619,169.4708,63.16,56,87,13.4,NZ,1707704495
9,panaba,21.2833,-88.2667,76.55,80,0,15.93,MX,1707704903
10,hotan,37.0997,79.9269,34.95,38,100,2.73,CN,1707704903
11,devarkonda,16.7,78.9333,67.33,90,76,6.02,IN,1707704903
12,northam,51.0333,-4.2167,44.65,89,19,9.6,GB,1707704554
13,dudinka,69.4058,86.1778,-35.32,99,21,4.0,RU,1707704518
14,indiana,40.0003,-86.2503,39.42,77,0,0.0,US,1707704903
15,petropavlovsk-kamchatsky,53.0452,158.6483,10.99,72,0,11.01,RU,1707704511
16,tazovsky,67.4667,78.7,-29.42,100,97,4.65,RU,1707704510
17,akhmim,26.5622,31.745,50.2,25,100,1.36,EG,1707704903
18,bredasdorp,-34.5322,20.0403,63.75,92,1,5.66,ZA,1707704500
19,kavieng,-2.5744,150.7967,84.81,71,100,6.44,PG,1707704904
20,tamalous,36.8376,6.6402,48.99,75,41,9.51,DZ,1707704904
21,ushuaia,-54.8,-68.3,42.46,81,75,26.46,AR,1707704430
22,carnarvon,-24.8667,113.6333,88.47,47,0,12.21,AU,1707704523
23,afaahiti,-17.75,-149.2833,78.67,89,90,17.58,PF,1707704515
24,qaqortoq,60.7167,-46.0333,3.69,69,93,6.08,GL,1707704509
25,aasiaat,68.7098,-52.8699,-16.69,99,96,8.32,GL,1707704496
26,waitangi,-43.9535,-176.5597,59.83,76,79,7.0,NZ,1707704498
27,mili,6.0815,171.735,81.59,79,82,24.92,MH,1707704904
28,port-aux-francais,-49.35,70.2167,42.76,74,8,23.6,TF,1707704501
29,grytviken,-54.2811,-36.5092,40.93,73,2,9.1,GS,1707704493
30,invercargill,-46.4,168.35,64.02,68,92,11.01,NZ,1707704499
31,yuzhno-kurilsk,44.0306,145.8556,22.37,80,97,14.7,RU,1707704905
32,yaren,-0.5472,166.916,83.08,75,97,4.32,NR,1707704905
33,amble,55.3333,-1.5833,38.16,87,1,10.36,GB,1707704905
34,leers,50.6822,3.2443,46.0,86,0,9.22,FR,1707704905
35,conduaga,8.862,117.4893,85.86,57,8,4.65,PH,1707704905
36,enewetak,11.3474,162.3373,79.93,78,100,20.89,MH,1707704511
37,lebu,-37.6167,-73.65,57.87,88,0,15.12,CL,1707704514
38,at-bashi,41.1702,75.8106,8.29,72,8,2.3,KG,1707704905
39,albany,42.6001,-73.9662,36.57,74,94,3.0,US,1707704317
40,umba,66.6871,34.3429,-19.01,100,100,4.34,RU,1707704905
41,whitehorse,60.7161,-135.0538,29.17,43,75,4.61,CA,1707704505
42,yinchuan,38.4681,106.2731,36.77,28,0,6.49,CN,1707704906
43,puerto ayora,-0.7393,-90.3518,80.55,94,26,1.99,EC,1707704501
44,aral,40.5156,81.2636,32.85,54,38,3.74,CN,1707704562
45,iskateley,67.6803,53.1512,-27.98,100,19,4.0,RU,1707704499
46,malango,-2.9627,119.9001,75.04,85,97,1.88,ID,1707704906
